Gene1	Gene2	Score
1	9	0.876666709188699
20	9	0.876666709188699
9	20	0.876666709188699
13	15	-0.873469675282607
13	34	-0.873469675282607
32	34	-0.873469675282607
32	15	-0.873469675282607
24	33	-0.87197235532868
24	14	-0.87197235532868
5	33	-0.87197235532868
5	14	-0.87197235532868
17	16	-0.86952558466695
17	35	-0.86952558466695
36	16	-0.869525584666949
36	35	-0.869525584666949
17	14	0.86836633316324
36	14	0.86836633316324
36	33	0.86836633316324
17	33	0.86836633316324
32	14	-0.867333299157667
32	33	-0.867333299157667
13	14	-0.867333299157667
13	33	-0.867333299157666
13	22	0.866406773503663
32	22	0.866406773503663
32	3	0.866406773503662
13	3	0.866406773503662
3	14	-0.865962403377153
3	33	-0.865962403377153
22	14	-0.865962403377153
22	33	-0.865962403377153
13	10	0.865823261013741
32	10	0.865823261013741
10	13	0.865823261013741
29	13	0.865823261013741
13	29	0.865823261013741
10	32	0.865823261013741
32	29	0.86582326101374
29	32	0.86582326101374
32	5	0.858049390151194
13	5	0.858049390151193
32	24	0.858049390151193
13	24	0.858049390151193
32	11	-0.857872539619479
13	11	-0.857872539619478
13	30	-0.857872539619478
32	30	-0.857872539619478
17	3	-0.85082686932634
17	22	-0.85082686932634
36	22	-0.85082686932634
36	3	-0.85082686932634
36	5	-0.84835596828394
17	5	-0.84835596828394
36	24	-0.848355968283939
17	24	-0.848355968283939
11	33	0.84661826508857
30	33	0.84661826508857
30	14	0.84661826508857
11	14	0.84661826508857
10	36	-0.84510794816585
29	36	-0.84510794816585
29	17	-0.84510794816585
10	17	-0.84510794816585
14	34	0.834012756174465
14	15	0.834012756174465
33	34	0.834012756174465
33	15	0.834012756174464
13	17	-0.831274241354775
32	17	-0.831274241354775
32	36	-0.831274241354775
13	36	-0.831274241354775
36	29	-0.830179133193735
17	10	-0.830179133193735
17	29	-0.830179133193735
36	10	-0.830179133193735
16	15	-0.817358074946902
35	15	-0.817358074946902
16	34	-0.817358074946902
35	34	-0.817358074946902
11	16	-0.806392472646322
30	16	-0.806392472646322
11	35	-0.806392472646322
30	35	-0.806392472646322
17	32	-0.798487230388707
36	32	-0.798487230388707
36	13	-0.798487230388707
17	13	-0.798487230388707
11	15	0.797408756087238
11	34	0.797408756087237
30	34	0.797408756087237
30	15	0.797408756087237
14	16	-0.793490934238295
33	16	-0.793490934238295
33	35	-0.793490934238295
14	35	-0.793490934238295
30	5	-0.791261907244032
30	24	-0.791261907244032
11	24	-0.791261907244031
11	5	-0.791261907244031
11	22	-0.788293416161808
11	3	-0.788293416161808
30	22	-0.788293416161808
30	3	-0.788293416161808
5	30	-0.758888323862875
5	11	-0.758888323862875
24	11	-0.758888323862875
24	30	-0.758888323862875
3	30	-0.758442501411243
22	30	-0.758442501411243
3	11	-0.758442501411243
22	11	-0.758442501411243
15	16	-0.754939293460242
34	16	-0.754939293460242
34	35	-0.754939293460241
15	35	-0.754939293460241
7	36	-0.746602512261223
26	36	-0.746602512261223
26	17	-0.746602512261223
7	17	-0.746602512261222
19	36	-0.738562141771459
19	17	-0.738562141771459
38	17	-0.738562141771459
38	36	-0.738562141771459
37	28	0.734720964367871
28	37	0.734720964367871
37	9	0.73472096436787
9	37	0.73472096436787
28	18	0.734720964367869
18	28	0.734720964367869
18	9	0.734720964367869
9	18	0.734720964367869
26	14	-0.725511562925855
7	14	-0.725511562925855
26	33	-0.725511562925854
7	33	-0.725511562925853
26	30	-0.721770825136623
26	11	-0.721770825136623
7	30	-0.721770825136623
7	11	-0.721770825136622
14	5	-0.719452196741549
33	5	-0.719452196741549
14	24	-0.719452196741549
33	24	-0.719452196741548
19	33	-0.715504728084152
38	33	-0.715504728084152
19	14	-0.715504728084152
38	14	-0.715504728084152
17	8	0.714492191681716
36	8	0.714492191681716
17	27	0.714492191681716
36	27	0.714492191681716
14	3	-0.71389020906382
14	22	-0.71389020906382
33	3	-0.71389020906382
33	22	-0.71389020906382
38	30	-0.7129477457038
19	11	-0.712947745703799
38	11	-0.712947745703799
19	30	-0.712947745703799
35	24	0.711188241562555
16	5	0.711188241562555
35	5	0.711188241562555
16	24	0.711188241562555
3	10	0.708635703844933
22	10	0.708635703844933
3	29	0.708635703844932
22	29	0.708635703844932
35	22	0.70862630580078
16	3	0.708626305800779
35	3	0.708626305800779
16	22	0.708626305800779
24	10	0.705984087040162
24	29	0.705984087040162
5	10	0.705984087040161
5	29	0.705984087040161
15	33	0.703861003559217
34	33	0.703861003559216
15	14	0.703861003559216
34	14	0.703861003559216
19	3	0.7011069333366
19	22	0.7011069333366
38	3	0.7011069333366
38	22	0.7011069333366
26	24	0.698024194461322
7	24	0.698024194461322
7	5	0.698024194461322
26	5	0.698024194461322
7	22	0.696042331253164
26	22	0.696042331253164
7	3	0.696042331253164
26	3	0.696042331253164
7	10	0.689695109853629
7	29	0.689695109853629
26	10	0.689695109853628
26	29	0.689695109853628
14	11	0.686923988223279
14	30	0.686923988223279
33	11	0.686923988223279
33	30	0.686923988223279
37	1	0.683509142331977
37	20	0.683509142331977
1	37	0.683509142331977
20	37	0.683509142331977
20	18	0.683509142331975
18	20	0.683509142331975
18	1	0.683509142331975
1	18	0.683509142331975
19	5	0.679117983592209
19	24	0.679117983592209
38	24	0.679117983592209
38	5	0.679117983592209
19	29	0.677961825052438
19	10	0.677961825052438
38	10	0.677961825052438
38	29	0.677961825052438
11	17	0.677891446358
30	17	0.677891446358
11	36	0.677891446358
30	36	0.677891446358
3	32	0.675985163062106
22	32	0.675985163062106
3	13	0.675985163062106
22	13	0.675985163062106
5	13	0.673872212861762
24	13	0.673872212861762
5	32	0.673872212861762
24	32	0.673872212861762
35	14	-0.673021978514018
35	33	-0.673021978514017
16	14	-0.673021978514017
16	33	-0.673021978514017
30	8	0.670395176536729
11	8	0.670395176536729
30	27	0.670395176536729
11	27	0.670395176536728
19	7	0.667010586478213
7	19	0.667010586478213
26	19	0.667010586478213
19	26	0.667010586478213
38	7	0.667010586478212
38	26	0.667010586478212
7	38	0.667010586478212
26	38	0.667010586478212
10	27	-0.661954401424269
29	27	-0.661954401424269
29	8	-0.661954401424269
10	8	-0.661954401424269
32	27	-0.65936047813828
13	27	-0.65936047813828
32	8	-0.659360478138279
13	8	-0.659360478138279
5	17	-0.653822067637615
24	17	-0.653822067637615
5	36	-0.653822067637615
24	36	-0.653822067637615
7	13	0.651380042815031
26	13	0.651380042815031
7	32	0.65138004281503
26	32	0.65138004281503
22	17	-0.650869429007582
3	17	-0.650869429007581
22	36	-0.650869429007581
3	36	-0.650869429007581
19	32	0.649230145482528
19	13	0.649230145482528
38	13	0.649230145482528
38	32	0.649230145482528
7	8	-0.627593564414246
26	8	-0.627593564414246
7	27	-0.627593564414246
26	27	-0.627593564414246
19	8	-0.624244675987687
19	27	-0.624244675987686
38	8	-0.624244675987686
38	27	-0.624244675987686
26	35	0.60335575608765
7	35	0.60335575608765
7	16	0.60335575608765
26	16	0.60335575608765
7	34	-0.602229364328181
26	34	-0.602229364328181
7	15	-0.602229364328181
26	15	-0.602229364328181
19	34	-0.59392824846569
19	15	-0.59392824846569
38	34	-0.59392824846569
38	15	-0.59392824846569
19	35	0.59325885728602
38	35	0.59325885728602
19	16	0.59325885728602
38	16	0.59325885728602
11	10	-0.566307072665348
11	29	-0.566307072665348
30	10	-0.566307072665348
30	29	-0.566307072665348
13	7	0.558305411412891
13	26	0.558305411412891
32	7	0.558305411412891
32	26	0.558305411412891
33	8	0.556670860824098
14	8	0.556670860824097
14	27	0.556670860824097
33	27	0.556670860824097
29	7	0.550147151955781
29	26	0.550147151955781
10	7	0.550147151955781
10	26	0.550147151955781
13	19	0.541694689309686
32	19	0.541694689309686
13	38	0.541694689309686
32	38	0.541694689309686
10	19	0.538507679865739
29	19	0.538507679865739
10	38	0.538507679865739
29	38	0.538507679865739
16	11	-0.516563456810446
35	11	-0.516563456810446
16	30	-0.516563456810446
35	30	-0.516563456810446
11	32	-0.513674982109545
30	32	-0.513674982109545
11	13	-0.513674982109544
30	13	-0.513674982109544
15	11	0.50148275841749
34	11	0.50148275841749
15	30	0.50148275841749
34	30	0.50148275841749
16	10	0.497850817289529
35	10	0.497850817289529
35	29	0.497850817289529
16	29	0.497850817289529
8	33	0.492414960949333
8	14	0.492414960949333
27	33	0.492414960949333
27	14	0.492414960949333
15	8	0.458884059300599
34	8	0.458884059300599
8	15	0.458884059300599
8	34	0.458884059300599
27	15	0.458884059300599
15	27	0.458884059300599
34	27	0.458884059300599
27	34	0.458884059300599
24	27	-0.456137079193711
5	27	-0.45613707919371
5	8	-0.45613707919371
24	8	-0.45613707919371
3	8	-0.454293077529251
3	27	-0.454293077529251
22	27	-0.454293077529251
22	8	-0.454293077529251
34	5	-0.433672426305153
15	5	-0.433672426305153
34	24	-0.433672426305153
15	24	-0.433672426305153
34	3	-0.433239250506013
34	22	-0.433239250506013
15	3	-0.433239250506012
15	22	-0.433239250506012
35	17	-0.432501517371191
16	17	-0.432501517371191
35	36	-0.432501517371191
16	36	-0.43250151737119
35	13	0.42437748442453
35	32	0.42437748442453
16	32	0.42437748442453
16	13	0.42437748442453
9	8	0.404497231267368
8	9	0.404497231267368
27	9	0.404497231267368
9	27	0.404497231267368
28	8	0.404497231267368
8	28	0.404497231267368
28	27	0.404497231267368
27	28	0.404497231267368
16	7	0.383901881781441
35	7	0.383901881781441
16	26	0.383901881781441
35	26	0.383901881781441
16	19	0.378077450013202
16	38	0.378077450013202
35	19	0.378077450013202
35	38	0.378077450013202
20	8	0.376080642170577
8	20	0.376080642170577
27	20	0.376080642170577
20	27	0.376080642170577
8	1	0.376080642170576
1	8	0.376080642170576
27	1	0.376080642170576
1	27	0.376080642170576
24	7	0.37370714130218
5	7	0.37370714130218
5	26	0.37370714130218
24	26	0.37370714130218
3	26	0.368075418692499
3	7	0.368075418692499
22	7	0.368075418692499
22	26	0.368075418692499
34	19	-0.367362976363412
34	38	-0.367362976363411
15	19	-0.367362976363411
15	38	-0.367362976363411
8	22	0.363500348896754
27	22	0.363500348896753
8	3	0.363500348896753
27	3	0.363500348896753
14	17	0.358162641211424
14	36	0.358162641211424
33	17	0.358162641211424
33	36	0.358162641211424
24	38	0.352134962204644
24	19	0.352134962204643
5	38	0.352134962204643
5	19	0.352134962204643
3	38	0.349729727098506
3	19	0.349729727098505
22	38	0.349729727098505
22	19	0.349729727098505
27	16	-0.349331870050909
8	16	-0.349331870050909
8	35	-0.349331870050909
27	35	-0.349331870050909
14	19	-0.348446857368591
33	19	-0.348446857368591
33	38	-0.348446857368591
14	38	-0.348446857368591
17	28	0.34517843460909
36	28	0.34517843460909
36	9	0.34517843460909
17	9	0.34517843460909
36	20	0.336137522802324
17	20	0.336137522802324
17	1	0.336137522802324
36	1	0.336137522802324
17	38	-0.326425399812066
36	38	-0.326425399812066
17	19	-0.326425399812066
36	19	-0.326425399812066
17	7	-0.325641280813429
17	26	-0.325641280813429
36	7	-0.325641280813428
36	26	-0.325641280813428
30	20	0.323926715493752
11	20	0.323926715493752
11	1	0.32392671549375
30	1	0.32392671549375
27	13	0.320932785250579
27	32	0.320932785250579
8	13	0.320932785250579
8	32	0.320932785250579
30	28	0.312367642132577
11	28	0.312367642132577
11	9	0.312367642132576
30	9	0.312367642132576
8	11	-0.311560801694292
8	30	-0.311560801694292
27	30	-0.311560801694292
27	11	-0.311560801694292
27	36	-0.309514281165855
27	17	-0.309514281165854
8	17	-0.309514281165854
8	36	-0.309514281165854
34	10	0.306710026400912
34	29	0.306710026400912
15	10	0.306710026400912
15	29	0.306710026400912
32	28	-0.30390628138121
13	28	-0.30390628138121
13	9	-0.30390628138121
32	9	-0.303906281381209
16	8	-0.303204162741051
35	8	-0.303204162741051
16	27	-0.303204162741051
35	27	-0.30320416274105
33	10	-0.303183269467013
14	10	-0.303183269467013
14	29	-0.303183269467013
33	29	-0.303183269467013
10	28	-0.297365137479861
29	28	-0.297365137479861
29	9	-0.297365137479861
10	9	-0.297365137479861
34	17	-0.294186067632024
15	17	-0.294186067632023
34	36	-0.294186067632023
15	36	-0.294186067632022
29	20	-0.289114035409498
10	20	-0.289114035409498
10	1	-0.289114035409497
29	1	-0.289114035409497
27	5	0.287920055930681
27	24	0.287920055930681
8	24	0.287920055930681
8	5	0.287920055930681
13	20	-0.287492708146327
32	20	-0.287492708146327
13	1	-0.287492708146326
32	1	-0.287492708146326
37	8	0.282841049515012
8	37	0.282841049515012
37	27	0.282841049515012
27	37	0.282841049515012
18	8	0.282841049515009
8	18	0.282841049515009
27	18	0.282841049515009
18	27	0.282841049515009
7	9	-0.281436913498291
26	9	-0.28143691349829
26	28	-0.28143691349829
7	28	-0.28143691349829
19	28	-0.281392954068918
38	28	-0.281392954068918
38	9	-0.281392954068917
19	9	-0.281392954068917
34	7	-0.281357114359866
15	26	-0.281357114359866
15	7	-0.281357114359866
34	26	-0.281357114359866
30	19	-0.270349778452107
30	38	-0.270349778452107
11	19	-0.270349778452107
11	38	-0.270349778452107
19	37	-0.269896705563654
38	37	-0.269896705563654
38	18	-0.269896705563652
19	18	-0.269896705563652
27	10	0.262942345531049
27	29	0.262942345531049
8	10	0.262942345531049
8	29	0.262942345531049
33	9	0.262794418098196
14	9	0.262794418098196
14	28	0.262794418098195
33	28	0.262794418098195
27	19	0.26201158443025
8	19	0.26201158443025
27	38	0.262011584430249
8	38	0.262011584430249
17	37	0.25900110314008
36	18	0.25900110314008
36	37	0.25900110314008
17	18	0.25900110314008
14	13	-0.256005598798351
14	32	-0.256005598798351
33	13	-0.256005598798351
33	32	-0.256005598798351
14	20	0.255417103512406
33	20	0.255417103512406
14	1	0.255417103512405
33	1	0.255417103512405
7	20	-0.254989742114377
26	20	-0.254989742114377
7	1	-0.254989742114376
26	1	-0.254989742114376
26	18	-0.252097391393835
7	18	-0.252097391393835
26	37	-0.252097391393834
7	37	-0.252097391393834
19	1	-0.241555817839186
38	1	-0.241555817839186
38	20	-0.241555817839186
19	20	-0.241555817839186
11	18	0.238496025035086
30	18	0.238496025035086
11	37	0.238496025035086
30	37	0.238496025035086
34	9	0.238211747885908
34	28	0.238211747885908
15	9	0.238211747885908
15	28	0.238211747885907
34	20	0.228263852796946
15	20	0.228263852796946
34	1	0.228263852796945
15	1	0.228263852796945
20	3	0.226520927910099
20	22	0.226520927910099
1	3	0.226520927910098
1	22	0.226520927910098
14	7	-0.226049817445156
33	7	-0.226049817445156
14	26	-0.226049817445156
33	26	-0.226049817445156
28	3	0.224394860167109
28	22	0.224394860167109
9	22	0.224394860167108
9	3	0.224394860167108
32	37	-0.207780097937022
13	37	-0.207780097937022
32	18	-0.207780097937022
13	18	-0.207780097937022
10	18	-0.206728281823344
29	18	-0.206728281823344
29	37	-0.206728281823343
10	37	-0.206728281823343
28	13	0.203785083029457
9	13	0.203785083029457
28	32	0.203785083029456
9	32	0.203785083029456
22	28	-0.203581446099624
3	28	-0.203581446099623
3	9	-0.203581446099623
22	9	-0.203581446099623
24	20	-0.203485629790428
5	20	-0.203485629790428
24	1	-0.203485629790427
5	1	-0.203485629790427
27	7	0.203092119998207
27	26	0.203092119998207
8	7	0.203092119998207
8	26	0.203092119998207
3	20	-0.203076015424823
22	20	-0.203076015424823
22	1	-0.203076015424823
3	1	-0.203076015424822
24	28	-0.203046838406746
5	28	-0.203046838406746
24	9	-0.203046838406745
5	9	-0.203046838406745
28	15	-0.197011346210119
9	34	-0.197011346210119
9	15	-0.197011346210119
28	34	-0.197011346210119
28	24	0.19388705315111
28	5	0.19388705315111
9	24	0.193887053151109
9	5	0.193887053151109
20	13	0.193171316479623
20	32	0.193171316479623
1	32	0.193171316479623
1	13	0.193171316479623
14	18	0.19306869315809
33	18	0.19306869315809
14	37	0.19306869315809
33	37	0.19306869315809
20	23	0.192932966112741
1	23	0.19293296611274
20	4	0.19293296611274
1	4	0.192932966112739
9	33	-0.191667389308453
28	14	-0.191667389308453
28	33	-0.191667389308453
9	14	-0.191667389308453
9	16	0.191347466071784
28	16	0.191347466071784
28	35	0.191347466071783
9	35	0.191347466071783
20	15	-0.190170540515186
20	34	-0.190170540515186
1	15	-0.190170540515186
1	34	-0.190170540515186
1	29	0.189438579597001
20	29	0.189438579597
1	10	0.189438579597
20	10	0.189438579597
28	11	-0.187362004538762
28	30	-0.187362004538762
9	11	-0.187362004538762
9	30	-0.187362004538761
28	10	0.186101633454607
28	29	0.186101633454607
9	10	0.186101633454607
9	29	0.186101633454607
20	33	-0.181607738762053
20	14	-0.181607738762053
1	14	-0.181607738762052
1	33	-0.181607738762052
20	24	0.181575954876739
20	5	0.181575954876739
1	24	0.181575954876738
1	5	0.181575954876738
20	11	-0.180465313526303
20	30	-0.180465313526303
1	11	-0.180465313526303
1	30	-0.180465313526303
11	7	-0.179283012515708
11	26	-0.179283012515708
30	7	-0.179283012515708
30	26	-0.179283012515708
20	16	0.178356970902867
20	35	0.178356970902867
1	16	0.178356970902866
1	35	0.178356970902866
28	23	0.176186914295421
9	23	0.176186914295419
28	4	0.176186914295417
9	4	0.176186914295415
37	10	0.174442933178292
37	29	0.174442933178292
18	29	0.174442933178291
18	10	0.174442933178291
9	36	-0.173865041024053
9	17	-0.173865041024053
28	17	-0.173865041024053
28	36	-0.173865041024053
34	18	0.168579505525906
15	18	0.168579505525906
34	37	0.168579505525904
15	37	0.168579505525904
9	19	0.1685128095624
9	38	0.1685128095624
28	38	0.168512809562399
28	19	0.168512809562399
18	4	0.165615504204086
18	23	0.165615504204085
37	4	0.165615504204085
37	23	0.165615504204084
37	33	0.162211407548599
37	14	0.162211407548599
18	33	0.162211407548599
18	14	0.162211407548598
1	36	-0.161613974160268
20	17	-0.161613974160268
1	17	-0.161613974160268
20	36	-0.161613974160268
37	34	0.158225252528662
37	15	0.158225252528662
18	15	0.158225252528662
18	34	0.158225252528662
28	6	0.157159009855893
9	6	0.157159009855892
28	25	0.15715900985589
9	25	0.157159009855889
20	38	0.15552172781328
20	19	0.15552172781328
1	38	0.155521727813279
1	19	0.155521727813279
15	32	0.153885556790362
15	13	0.153885556790362
34	13	0.153885556790362
34	32	0.153885556790362
16	20	-0.146165103311443
35	20	-0.146165103311443
16	1	-0.146165103311442
35	1	-0.146165103311442
37	19	0.145389379594387
37	38	0.145389379594387
18	19	0.145389379594387
18	38	0.145389379594387
24	18	-0.144726637991374
5	18	-0.144726637991374
5	37	-0.144726637991374
24	37	-0.144726637991374
23	12	0.144476494756899
4	12	0.144476494756898
23	31	0.144476494756892
4	31	0.144476494756891
25	7	0.14357381953025
25	26	0.14357381953025
6	26	0.143573819530248
6	7	0.143573819530248
37	3	0.142555147385114
37	22	0.142555147385114
18	22	0.142555147385113
18	3	0.142555147385113
22	18	-0.142460715003599
3	18	-0.142460715003598
22	37	-0.142460715003597
3	37	-0.142460715003597
20	26	0.142358376403963
20	7	0.142358376403963
1	26	0.142358376403962
1	7	0.142358376403962
37	7	0.138962884727551
37	26	0.138962884727551
18	7	0.13896288472755
18	26	0.13896288472755
16	28	-0.138732367277626
16	9	-0.138732367277626
35	28	-0.138732367277626
35	9	-0.138732367277626
31	38	0.138269906297501
31	19	0.1382699062975
12	38	0.138269906297498
12	19	0.138269906297497
27	23	0.13641030360211
8	23	0.13641030360211
8	4	0.136410303602107
27	4	0.136410303602107
37	32	0.135668430648389
37	13	0.135668430648389
18	32	0.135668430648388
18	13	0.135668430648388
4	25	0.13433818897192
23	25	0.134338188971917
4	6	0.134338188971916
23	6	0.134338188971914
25	9	0.133370691879228
25	28	0.133370691879228
6	9	0.133370691879224
6	28	0.133370691879224
28	7	0.132032604502392
28	26	0.132032604502392
9	26	0.132032604502392
9	7	0.132032604502392
12	9	0.131440265509668
12	28	0.131440265509666
31	9	0.131440265509664
31	28	0.131440265509663
31	18	0.130249763947646
31	37	0.130249763947646
12	18	0.130249763947642
12	37	0.130249763947642
6	4	0.130044451579728
25	4	0.130044451579726
6	23	0.130044451579724
25	23	0.130044451579723
20	6	0.128669224001686
1	6	0.128669224001686
20	25	0.12866922400168
1	25	0.128669224001679
9	12	0.126608869956765
28	12	0.126608869956765
9	31	0.126608869956763
28	31	0.126608869956762
25	37	0.125584919191871
25	18	0.125584919191869
6	37	0.125584919191868
6	18	0.125584919191866
6	21	0.124908662471561
25	21	0.124908662471558
6	2	0.124908662471554
25	2	0.124908662471552
18	21	0.123086838404569
37	21	0.123086838404569
18	2	0.123086838404567
37	2	0.123086838404567
35	23	0.123017516107213
16	23	0.123017516107213
35	4	0.123017516107212
16	4	0.123017516107212
20	12	0.122525916983206
1	12	0.122525916983205
20	31	0.122525916983204
1	31	0.122525916983203
25	5	0.121947492250077
25	24	0.121947492250077
6	5	0.121947492250071
6	24	0.121947492250071
37	25	0.121562794280386
18	25	0.121562794280386
37	6	0.121562794280383
18	6	0.121562794280382
37	12	0.121307888644518
37	31	0.121307888644516
18	12	0.121307888644516
18	31	0.121307888644515
31	26	-0.121282990146259
31	7	-0.121282990146259
12	7	-0.121282990146258
12	26	-0.121282990146258
21	37	0.11953312846004
21	18	0.119533128460036
2	37	0.119533128460034
2	18	0.119533128460031
4	19	0.118234537780767
4	38	0.118234537780767
23	38	0.118234537780765
23	19	0.118234537780765
25	20	0.117952862387825
25	1	0.117952862387825
6	1	0.117952862387821
6	20	0.117952862387821
37	5	0.116506301232061
37	24	0.116506301232061
18	24	0.116506301232061
18	5	0.11650630123206
31	20	0.116454461383901
31	1	0.1164544613839
12	20	0.116454461383898
12	1	0.116454461383898
26	4	0.116379515900456
7	4	0.116379515900456
26	23	0.116379515900455
7	23	0.116379515900455
25	10	0.115864375124068
25	29	0.115864375124068
6	29	0.115864375124065
6	10	0.115864375124065
25	31	0.115306700511029
25	12	0.115306700511029
6	31	0.115306700511027
6	12	0.115306700511027
28	2	0.115247553239463
9	2	0.115247553239462
28	21	0.11524755323946
9	21	0.11524755323946
31	2	0.115003628148558
12	2	0.115003628148555
31	21	0.115003628148554
12	21	0.115003628148552
18	16	-0.114435448923047
18	35	-0.114435448923047
37	16	-0.114435448923047
37	35	-0.114435448923047
2	23	0.113734132798144
21	23	0.113734132798142
2	4	0.113734132798137
21	4	0.113734132798136
23	18	0.113290354678848
23	37	0.113290354678848
4	18	0.113290354678843
4	37	0.113290354678843
19	25	0.111800350064556
38	25	0.111800350064555
19	6	0.111800350064554
38	6	0.111800350064553
21	8	0.111510721789749
21	27	0.111510721789749
2	27	0.111510721789747
2	8	0.111510721789747
21	32	-0.110853167590008
21	13	-0.110853167590008
2	32	-0.110853167590004
2	13	-0.110853167590004
11	23	-0.110304638436063
30	23	-0.110304638436063
11	4	-0.110304638436062
30	4	-0.110304638436062
2	1	0.109750549539098
2	20	0.109750549539098
21	1	0.109750549539097
21	20	0.109750549539096
12	6	0.109081000308746
31	6	0.109081000308746
31	25	0.109081000308741
12	25	0.109081000308741
21	28	0.108790046790299
21	9	0.108790046790298
2	28	0.108790046790294
2	9	0.108790046790293
24	23	0.107638947941722
5	23	0.107638947941722
5	4	0.107638947941721
24	4	0.107638947941721
24	31	0.107339380858279
5	31	0.107339380858279
24	12	0.107339380858276
5	12	0.107339380858276
11	2	-0.106776272591302
30	2	-0.106776272591301
30	21	-0.1067762725913
11	21	-0.1067762725913
37	11	-0.106261806581028
37	30	-0.106261806581028
18	11	-0.106261806581028
18	30	-0.106261806581028
20	21	0.106219254617333
1	21	0.106219254617332
20	2	0.106219254617332
1	2	0.106219254617331
34	4	-0.1061126691624
15	4	-0.1061126691624
15	23	-0.106112669162399
34	23	-0.106112669162399
25	32	0.106095112937314
25	13	0.106095112937314
6	32	0.106095112937307
6	13	0.106095112937307
7	21	-0.105632182482181
26	21	-0.105632182482181
7	2	-0.105632182482172
26	2	-0.105632182482172
13	4	0.105399725942415
32	4	0.105399725942415
32	23	0.105399725942412
13	23	0.105399725942412
25	27	-0.104752458265695
25	8	-0.104752458265695
6	27	-0.104752458265689
6	8	-0.104752458265689
2	6	0.10458773473352
21	6	0.104587734733519
2	25	0.104587734733518
21	25	0.104587734733517
4	26	0.103860301269359
4	7	0.103860301269359
23	26	0.103860301269358
23	7	0.103860301269358
19	4	0.103533530723086
38	4	0.103533530723086
38	23	0.103533530723081
19	23	0.103533530723081
25	19	0.103334508277043
25	38	0.103334508277043
6	38	0.103334508277039
6	19	0.103334508277038
37	17	-0.103274529993833
37	36	-0.103274529993833
18	36	-0.103274529993831
18	17	-0.103274529993831
14	23	-0.102421908804381
33	23	-0.102421908804381
14	4	-0.102421908804381
33	4	-0.102421908804381
22	4	0.102370053952296
3	4	0.102370053952295
3	23	0.102370053952295
22	23	0.102370053952295
16	12	0.101980099553788
35	12	0.101980099553788
16	31	0.101980099553788
35	31	0.101980099553787
19	12	0.10154940766229
38	12	0.10154940766229
19	31	0.101549407662282
38	31	0.101549407662282
22	31	0.10025327508368
3	31	0.10025327508368
22	12	0.100253275083678
3	12	0.100253275083678
35	18	-0.100028081134444
16	18	-0.100028081134444
35	37	-0.100028081134444
16	37	-0.100028081134443
2	7	0.0996695722241914
2	26	0.0996695722241913
21	7	0.0996695722241909
21	26	0.0996695722241907
23	13	0.0995008538263369
23	32	0.0995008538263368
4	32	0.0995008538263347
4	13	0.0995008538263347
27	2	-0.09881690797374
8	2	-0.0988169079737398
27	21	-0.0988169079737376
8	21	-0.0988169079737374
2	12	0.0984622691598591
21	12	0.0984622691598586
2	31	0.0984622691598576
21	31	0.0984622691598571
29	23	0.0977847360831875
10	23	0.0977847360831875
10	4	0.0977847360831856
29	4	0.0977847360831856
23	5	0.0960704774904603
23	24	0.0960704774904603
4	24	0.0960704774904602
4	5	0.0960704774904601
8	6	0.0958017703853717
27	6	0.0958017703853714
8	25	0.0958017703853651
27	25	0.095801770385365
