Parent	Type	Child	Weight	Probability	Score
14	+	2	0.000132	0.062477	0.000015
15	-	2	-0.000359	0.074310	-0.000049
16	+	2	0.000352	0.076797	0.000050
17	+	2	0.001037	0.065931	0.000126
18	+	2	0.020642	0.638580	0.024328
19	+	2	0.001166	0.099577	0.000214
20	+	2	0.002326	0.192258	0.000825
21	-	2	-0.002290	0.406440	-0.001718
22	+	2	0.003099	0.054039	0.000309
23	-	2	-0.008220	0.857304	-0.013007
24	-	2	-0.004568	0.549667	-0.004634
25	-	2	-0.002329	0.408822	-0.001757
26	-	2	-0.001710	0.252313	-0.000796
27	+	2	0.002282	0.083850	0.000353
28	+	2	0.005289	0.214696	0.002096
29	+	2	0.001289	0.076223	0.000181
30	+	2	0.000390	0.089806	0.000065
31	-	2	-0.002194	0.382339	-0.001548
32	+	2	0.000186	0.103989	0.000036
33	+	2	0.000178	0.093164	0.000031
34	-	2	-0.002592	0.202802	-0.000970
35	+	2	0.003024	0.063932	0.000357
36	+	2	0.003837	0.091550	0.000648
37	+	2	0.026122	1.000000	0.048210
38	+	2	0.003321	0.027183	0.000167
1	+	3	0.073179	0.322107	0.043503
2	+	3	0.042220	0.444569	0.034641
3	+	3	0.334304	1.000000	0.616985
4	+	3	0.000406	0.407817	0.000306
5	+	3	0.100450	0.918123	0.170210
6	+	3	0.025777	0.432727	0.020586
7	+	3	0.003805	0.110574	0.000777
8	-	3	-0.017255	0.124169	-0.003954
9	+	3	0.076550	0.345485	0.048810
10	+	3	0.049240	0.297995	0.027080
11	-	3	-0.037429	0.191905	-0.013257
12	+	3	0.043819	0.417997	0.033804
13	+	3	0.027777	0.151499	0.007766
14	-	3	-0.042796	0.221054	-0.017460
15	+	3	0.051587	0.278134	0.026480
16	+	3	0.073587	0.590770	0.080233
17	-	3	-0.007482	0.076958	-0.001063
18	-	3	-0.088359	0.411290	-0.067071
19	+	3	0.103704	0.984401	0.188408
20	+	3	0.148524	0.991380	0.271750
21	+	3	0.010566	0.298483	0.005820
22	+	3	0.246026	1.000000	0.454061
23	-	3	-0.035299	0.374764	-0.024415
24	+	3	0.108908	0.997799	0.200556
25	-	3	-0.006755	0.292982	-0.003653
26	-	3	-0.016419	0.143637	-0.004353
27	-	3	-0.214873	1.000000	-0.396565
28	+	3	0.142979	0.987906	0.260688
29	+	3	0.103763	0.998000	0.191120
30	-	3	-0.194436	1.000000	-0.358847
31	+	3	0.017232	0.298601	0.009496
32	+	3	0.070249	0.728810	0.094491
33	-	3	-0.183282	1.000000	-0.338262
34	+	3	0.122841	0.999441	0.226586
35	+	3	0.121536	0.999865	0.224275
36	-	3	-0.033721	0.151321	-0.009417
37	-	3	-0.258997	0.999996	-0.477999
38	+	3	0.132489	0.999999	0.244519
1	+	4	0.000795	0.202839	0.000298
2	-	4	-0.002387	0.432732	-0.001906
3	-	4	-0.000974	0.094114	-0.000169
4	-	4	-0.003655	0.414631	-0.002797
5	-	4	-0.000129	0.086393	-0.000021
6	-	4	-0.003474	0.432940	-0.002776
7	-	4	-0.000523	0.114592	-0.000111
8	-	4	-0.001408	0.046352	-0.000120
9	-	4	-0.003266	0.232325	-0.001400
10	-	4	-0.001623	0.106705	-0.000320
11	-	4	-0.000084	0.053428	-0.000008
12	+	4	0.006507	0.422991	0.005080
13	-	4	-0.001422	0.131956	-0.000346
14	+	4	0.000146	0.063484	0.000017
15	-	4	-0.000270	0.064034	-0.000032
16	+	4	0.000031	0.071225	0.000004
17	+	4	0.000587	0.056011	0.000061
18	-	4	-0.006246	0.329896	-0.003803
19	-	4	-0.001228	0.116689	-0.000264
20	+	4	0.006667	0.354740	0.004365
21	+	4	0.002984	0.308933	0.001701
22	-	4	-0.002234	0.156404	-0.000645
23	+	4	0.001618	0.285900	0.000853
24	+	4	0.001448	0.100212	0.000268
25	+	4	0.002056	0.296216	0.001124
26	+	4	0.003001	0.102447	0.000567
27	-	4	-0.003707	0.146740	-0.001004
28	-	4	-0.001449	0.254882	-0.000682
29	-	4	-0.002195	0.166094	-0.000673
30	+	4	0.000419	0.092085	0.000071
31	+	4	0.011898	0.937342	0.020583
32	+	4	0.009053	0.256139	0.004279
33	+	4	0.001056	0.094978	0.000185
34	-	4	-0.000163	0.095249	-0.000029
35	+	4	0.001958	0.097164	0.000351
36	+	4	0.002038	0.104486	0.000393
37	-	4	-0.003394	0.358257	-0.002244
38	+	4	0.000903	0.113365	0.000189
1	+	5	0.027519	0.221850	0.011267
2	-	5	-0.115897	0.519543	-0.111128
3	+	5	0.264584	0.508462	0.248288
4	-	5	-0.157846	0.573843	-0.167170
5	+	5	0.355525	1.000000	0.656150
6	+	5	0.075875	0.465749	0.065220
7	+	5	0.090717	0.000018	0.000003
8	-	5	-0.033493	0.172668	-0.010673
9	+	5	0.037804	0.250663	0.017489
10	+	5	0.009104	0.065942	0.001108
11	-	5	-0.062125	0.480492	-0.055092
12	+	5	0.144010	0.540295	0.143601
13	+	5	0.074805	0.000403	0.000056
14	-	5	-0.060833	0.637111	-0.071530
15	+	5	0.005762	0.080130	0.000852
16	+	5	0.046262	0.023124	0.001974
17	-	5	-0.030163	0.141252	-0.007863
18	-	5	-0.038998	0.322609	-0.023220
19	+	5	0.173118	0.000000	0.000000
20	+	5	0.098603	0.038069	0.006928
21	-	5	-0.086843	0.990246	-0.158712
22	+	5	0.268010	0.000000	0.000000
23	-	5	-0.156667	0.999896	-0.289112
24	+	5	0.313885	0.000000	0.000000
25	+	5	0.116527	0.065873	0.014167
26	+	5	0.143178	0.000000	0.000000
27	-	5	-0.179046	1.000000	-0.330443
28	+	5	0.117870	0.052298	0.011377
29	+	5	0.047061	0.000021	0.000002
30	-	5	-0.152140	1.000000	-0.280786
31	+	5	0.194422	0.557653	0.200097
32	+	5	0.150793	0.000000	0.000000
33	-	5	-0.128335	1.000000	-0.236852
34	+	5	0.046769	0.003115	0.000269
35	+	5	0.152679	0.000000	0.000000
36	-	5	-0.071604	0.965414	-0.127581
37	-	5	-0.034115	0.694206	-0.043709
38	+	5	0.206189	0.000000	0.000000
1	-	6	-0.000535	0.200502	-0.000198
2	-	6	-0.003061	0.434678	-0.002455
3	+	6	0.000019	0.085004	0.000003
4	+	6	0.015398	0.527057	0.014978
5	+	6	0.000077	0.085734	0.000012
6	+	6	0.001549	0.428449	0.001225
7	+	6	0.000726	0.109032	0.000146
8	-	6	-0.001066	0.040926	-0.000081
9	-	6	-0.000508	0.219222	-0.000206
10	-	6	-0.000011	0.088780	-0.000002
11	-	6	-0.000826	0.065314	-0.000100
12	+	6	0.002148	0.403336	0.001599
13	-	6	-0.000111	0.087859	-0.000018
14	-	6	-0.000522	0.068120	-0.000066
15	-	6	-0.000172	0.106358	-0.000034
16	+	6	0.000548	0.085674	0.000087
17	+	6	0.000787	0.056089	0.000081
18	+	6	0.001739	0.301110	0.000966
19	+	6	0.000434	0.106956	0.000086
20	-	6	-0.000530	0.223655	-0.000219
21	-	6	-0.002830	0.406697	-0.002124
22	+	6	0.000135	0.106912	0.000027
23	+	6	0.011458	0.933138	0.019733
24	+	6	0.000298	0.105495	0.000058
25	+	6	0.000832	0.279542	0.000429
26	+	6	0.001895	0.086258	0.000302
27	-	6	-0.002708	0.129781	-0.000649
28	-	6	-0.000428	0.234470	-0.000185
29	+	6	0.000180	0.108794	0.000036
30	-	6	-0.003097	0.169687	-0.000970
31	+	6	0.001456	0.262863	0.000706
32	-	6	-0.000071	0.112170	-0.000015
33	-	6	-0.001084	0.113401	-0.000227
34	+	6	0.007630	0.136403	0.001921
35	+	6	0.002152	0.098176	0.000390
36	+	6	0.002816	0.100269	0.000521
37	+	6	0.002396	0.241740	0.001069
38	+	6	0.001180	0.099633	0.000217
1	+	7	0.051350	0.254365	0.024106
2	-	7	-0.008400	0.430600	-0.006676
3	+	7	0.005901	0.096968	0.001056
4	+	7	0.050742	0.424580	0.039761
5	+	7	0.148968	0.997015	0.274111
6	+	7	0.067453	0.454231	0.056548
7	+	7	0.297547	1.000000	0.549147
8	-	7	-0.008957	0.114098	-0.001886
9	+	7	0.095353	0.353375	0.062187
10	+	7	0.023130	0.100998	0.004311
11	+	7	0.030482	0.116275	0.006541
12	+	7	0.089527	0.452142	0.074707
13	+	7	0.030306	0.109988	0.006152
14	+	7	0.103201	0.651866	0.124158
15	+	7	0.112837	0.805486	0.167743
16	+	7	0.117601	0.868066	0.188406
17	-	7	-0.014350	0.106978	-0.002833
18	+	7	0.050628	0.332516	0.031070
19	+	7	0.179176	0.999941	0.330663
20	+	7	0.052665	0.291292	0.028313
21	-	7	-0.097113	0.850640	-0.152460
22	-	7	-0.014508	0.141624	-0.003792
23	-	7	-0.021471	0.321752	-0.012750
24	+	7	0.131352	0.987833	0.239471
25	-	7	-0.008790	0.293234	-0.004757
26	+	7	0.191060	1.000000	0.352617
27	-	7	-0.205910	1.000000	-0.380023
28	+	7	0.122824	0.850243	0.192735
29	+	7	0.015547	0.103434	0.002968
30	+	7	0.116610	0.800206	0.172214
31	+	7	0.019221	0.264263	0.009375
32	+	7	0.038501	0.104936	0.007456
33	+	7	0.139668	0.991081	0.255469
34	+	7	0.129357	0.975559	0.232904
35	+	7	0.112117	0.862668	0.178504
36	-	7	-0.130414	0.985702	-0.237249
37	+	7	0.008311	0.244915	0.003757
38	+	7	0.128159	0.974946	0.230602
1	+	8	0.106868	0.406507	0.080177
2	+	8	0.041049	0.441346	0.033436
3	-	8	-0.018187	0.142445	-0.004781
4	-	8	-0.078565	0.451601	-0.065481
5	-	8	-0.028829	0.179040	-0.009526
6	+	8	0.035450	0.435716	0.028507
7	+	8	0.001001	0.110478	0.000204
8	+	8	0.136715	0.853821	0.215435
9	+	8	0.138323	0.520890	0.132976
10	+	8	0.068286	0.460836	0.058078
11	-	8	-0.009269	0.079381	-0.001358
12	+	8	0.019429	0.403763	0.014478
13	+	8	0.010246	0.099617	0.001884
14	+	8	0.141858	0.996406	0.260870
15	+	8	0.001432	0.072133	0.000191
16	-	8	-0.002556	0.076545	-0.000361
17	-	8	-0.095157	0.613160	-0.107683
18	-	8	-0.012120	0.317654	-0.007106
19	+	8	0.009788	0.109932	0.001986
20	+	8	0.198339	0.999731	0.365952
21	+	8	0.006045	0.302843	0.003379
22	-	8	-0.118759	0.996363	-0.218382
23	-	8	-0.156447	0.993449	-0.286843
24	-	8	-0.143339	0.999987	-0.264540
25	+	8	0.000033	0.300037	0.000018
26	-	8	-0.032956	0.183149	-0.011140
27	+	8	0.282408	1.000000	0.521206
28	+	8	0.243062	0.999995	0.448588
29	+	8	0.118351	0.998666	0.218135
30	-	8	-0.049858	0.208112	-0.019150
31	-	8	-0.014561	0.300460	-0.008074
32	+	8	0.008761	0.118056	0.001909
33	+	8	0.209029	1.000000	0.385779
34	-	8	-0.005090	0.100506	-0.000944
35	-	8	-0.017320	0.110946	-0.003546
36	-	8	-0.289412	1.000000	-0.534133
37	-	8	-0.067335	0.559834	-0.069572
38	+	8	0.001260	0.126800	0.000295
1	+	9	0.134094	0.999983	0.247477
2	+	9	0.024107	0.478384	0.021284
3	+	9	0.001646	0.089220	0.000271
4	-	9	-0.008553	0.414976	-0.006551
5	-	9	-0.000041	0.088199	-0.000007
6	+	9	0.007369	0.431744	0.005872
7	+	9	0.005667	0.120082	0.001256
8	+	9	0.008353	0.093305	0.001438
9	+	9	0.113625	0.998128	0.209311
10	+	9	0.009407	0.183980	0.003194
11	-	9	-0.001491	0.071978	-0.000198
12	-	9	-0.016483	0.427929	-0.013018
13	+	9	0.003803	0.107601	0.000755
14	+	9	0.005349	0.103602	0.001023
15	+	9	0.000896	0.086867	0.000144
16	+	9	0.000206	0.122780	0.000047
17	+	9	0.000879	0.057676	0.000094
18	+	9	0.015294	0.363121	0.010250
19	+	9	0.001385	0.117479	0.000300
20	+	9	0.058188	0.999482	0.107336
21	+	9	0.002638	0.273524	0.001332
22	+	9	0.001832	0.108629	0.000367
23	-	9	-0.034547	0.923810	-0.058901
24	-	9	-0.002800	0.111052	-0.000574
25	-	9	-0.013308	0.403809	-0.009918
26	+	9	0.003610	0.133190	0.000887
27	+	9	0.021140	0.460899	0.017982
28	+	9	0.053467	0.998464	0.098526
29	+	9	0.020349	0.802977	0.030156
30	-	9	-0.013056	0.201773	-0.004862
31	-	9	-0.049217	0.994429	-0.090327
32	+	9	0.007511	0.151267	0.002097
33	+	9	0.015124	0.283552	0.007915
34	-	9	-0.011179	0.173941	-0.003589
35	-	9	-0.031631	0.998005	-0.058262
36	-	9	-0.000215	0.094716	-0.000038
37	-	9	-0.001075	0.243387	-0.000483
38	-	9	-0.014828	0.312263	-0.008545
1	+	10	0.008849	0.211000	0.003446
2	+	10	0.011531	0.430865	0.009169
3	+	10	0.056347	0.281638	0.029288
4	+	10	0.041545	0.419461	0.032162
5	+	10	0.023639	0.123516	0.005389
6	+	10	0.117008	0.505941	0.109257
7	+	10	0.021955	0.130826	0.005301
8	-	10	-0.012109	0.067695	-0.001513
9	+	10	0.060562	0.279387	0.031228
10	+	10	0.267542	1.000000	0.493770
11	-	10	-0.017035	0.102688	-0.003228
12	-	10	-0.052914	0.420454	-0.041060
13	+	10	0.125800	0.991653	0.230236
14	+	10	0.042886	0.204571	0.016192
15	+	10	0.009177	0.094987	0.001609
16	+	10	0.012977	0.099354	0.002379
17	-	10	-0.157287	0.979767	-0.284413
18	+	10	0.082771	0.373902	0.057117
19	+	10	0.070542	0.497372	0.064754
20	-	10	-0.006591	0.224197	-0.002727
21	-	10	-0.026440	0.334719	-0.016333
22	+	10	0.108452	0.990568	0.198270
23	+	10	0.009897	0.290588	0.005308
24	+	10	0.041803	0.205984	0.015892
25	+	10	0.081148	0.694546	0.104019
26	+	10	0.036585	0.208101	0.014051
27	-	10	-0.091923	0.559020	-0.094839
28	+	10	0.115317	0.889844	0.189382
29	+	10	0.272297	1.000000	0.502546
30	-	10	-0.121370	0.965349	-0.216236
31	-	10	-0.113127	0.891048	-0.186037
32	+	10	0.182321	1.000000	0.336488
33	+	10	0.153227	0.999988	0.282789
34	+	10	0.050377	0.234632	0.021815
35	+	10	0.042997	0.195284	0.015497
36	-	10	-0.321065	1.000000	-0.592550
37	+	10	0.104688	0.844939	0.163250
38	+	10	0.111462	0.997266	0.205150
1	-	11	-0.020456	0.224441	-0.008473
2	+	11	0.069259	0.469916	0.060066
3	-	11	-0.008563	0.129401	-0.002045
4	+	11	0.096615	0.488068	0.087027
5	-	11	-0.010770	0.134823	-0.002680
6	+	11	0.078460	0.477737	0.069178
7	+	11	0.033237	0.169351	0.010388
8	-	11	-0.012073	0.085059	-0.001895
9	+	11	0.069383	0.319354	0.040894
10	-	11	-0.002330	0.127277	-0.000547
11	+	11	0.452808	1.000000	0.835693
12	+	11	0.070074	0.446102	0.057693
13	+	11	0.001103	0.108076	0.000220
14	+	11	0.114753	0.985011	0.208612
15	+	11	0.035808	0.167193	0.011049
16	+	11	0.053024	0.318016	0.031121
17	+	11	0.062394	0.261837	0.030151
18	+	11	0.022693	0.312072	0.013070
19	+	11	0.046623	0.259506	0.022330
20	-	11	-0.121492	0.961668	-0.215628
21	-	11	-0.003001	0.287148	-0.001590
22	-	11	-0.098192	0.985458	-0.178586
23	+	11	0.025137	0.329039	0.015265
24	-	11	-0.106731	0.996353	-0.196261
25	+	11	0.004816	0.288266	0.002562
26	+	11	0.031847	0.216879	0.012747
27	-	11	-0.112729	0.979585	-0.203803
28	+	11	0.092517	0.828592	0.141479
29	-	11	-0.098404	0.987195	-0.179287
30	+	11	0.196516	1.000000	0.362685
31	+	11	0.004692	0.277086	0.002399
32	-	11	-0.053892	0.379074	-0.037704
33	+	11	0.126147	0.999948	0.232803
34	+	11	0.066434	0.613705	0.075245
35	+	11	0.095436	0.986661	0.173785
36	+	11	0.069558	0.573791	0.073660
37	-	11	-0.027209	0.308894	-0.015511
38	+	11	0.046407	0.386985	0.033145
1	+	12	0.002470	0.212355	0.000968
2	-	12	-0.000367	0.430431	-0.000292
3	-	12	-0.000804	0.102550	-0.000152
4	+	12	0.007686	0.435896	0.006183
5	+	12	0.000376	0.086999	0.000060
6	-	12	-0.001651	0.428700	-0.001306
7	-	12	-0.001213	0.124304	-0.000278
8	-	12	-0.001272	0.044721	-0.000105
9	-	12	-0.005371	0.252478	-0.002503
10	-	12	-0.000756	0.097603	-0.000136
11	-	12	-0.000491	0.058586	-0.000053
12	-	12	-0.002655	0.404606	-0.001982
13	-	12	-0.000203	0.089955	-0.000034
14	-	12	-0.000541	0.072223	-0.000072
15	-	12	-0.000511	0.075131	-0.000071
16	-	12	-0.000593	0.082571	-0.000090
17	-	12	-0.000691	0.055684	-0.000071
18	-	12	-0.007852	0.345836	-0.005012
19	-	12	-0.001016	0.137771	-0.000258
20	+	12	0.015158	0.889236	0.024877
21	+	12	0.008117	0.446968	0.006696
22	-	12	-0.003921	0.338763	-0.002452
23	+	12	0.019308	0.998629	0.035586
24	+	12	0.002505	0.080465	0.000372
25	+	12	0.006717	0.372392	0.004616
26	+	12	0.002437	0.071245	0.000320
27	-	12	-0.003198	0.143896	-0.000849
28	-	12	-0.004816	0.465350	-0.004136
29	-	12	-0.001454	0.160548	-0.000431
30	-	12	-0.000869	0.103840	-0.000166
31	+	12	0.005218	0.308582	0.002972
32	+	12	0.001587	0.085099	0.000249
33	-	12	-0.001417	0.122824	-0.000321
34	-	12	-0.001553	0.131173	-0.000376
35	-	12	-0.002620	0.180472	-0.000873
36	-	12	-0.001571	0.118362	-0.000343
37	-	12	-0.004500	0.492281	-0.004088
38	+	12	0.005361	0.036066	0.000357
1	+	13	0.085648	0.297702	0.047058
2	+	13	0.108551	0.487966	0.097759
3	+	13	0.036701	0.145101	0.009828
4	+	13	0.108760	0.470826	0.094507
5	+	13	0.045011	0.173233	0.014391
6	+	13	0.041231	0.436360	0.033204
7	+	13	0.051982	0.224802	0.021567
8	-	13	-0.009992	0.058174	-0.001073
9	-	13	-0.032488	0.246880	-0.014803
10	+	13	0.190333	0.999995	0.351274
11	-	13	-0.010460	0.081557	-0.001574
12	+	13	0.064134	0.424451	0.050240
13	+	13	0.249467	1.000000	0.460411
14	+	13	0.036466	0.141869	0.009548
15	+	13	0.090613	0.562401	0.094052
16	+	13	0.113018	0.863476	0.180107
17	-	13	-0.134122	0.850000	-0.210403
18	+	13	0.083526	0.363050	0.055966
19	+	13	0.021288	0.121938	0.004791
20	+	13	0.160261	0.970878	0.287161
21	+	13	0.040183	0.370205	0.027455
22	+	13	0.056847	0.290330	0.030460
23	+	13	0.048615	0.400391	0.035924
24	+	13	0.069008	0.441347	0.056210
25	-	13	-0.023023	0.316538	-0.013450
26	+	13	0.069263	0.538588	0.068848
27	-	13	-0.075956	0.293014	-0.041076
28	-	13	-0.151806	0.949486	-0.266018
29	+	13	0.171809	1.000000	0.317087
30	-	13	-0.078194	0.364313	-0.052575
31	+	13	0.007230	0.281047	0.003750
32	+	13	0.225478	1.000000	0.416138
33	+	13	0.107517	0.878662	0.174354
34	+	13	0.151810	0.999835	0.280132
35	+	13	0.152571	0.999929	0.281562
36	-	13	-0.358025	1.000000	-0.660764
37	+	13	0.076236	0.544816	0.076656
38	+	13	0.008679	0.133910	0.002145
1	+	14	0.009242	0.209809	0.003579
2	-	14	-0.060055	0.457947	-0.050757
3	-	14	-0.050225	0.324815	-0.030108
4	+	14	0.072664	0.450885	0.060467
5	-	14	-0.039307	0.222869	-0.016168
6	-	14	-0.044262	0.442569	-0.036153
7	+	14	0.026907	0.151101	0.007503
8	+	14	0.077021	0.399428	0.056778
9	+	14	0.010984	0.230410	0.004671
10	+	14	0.001610	0.094452	0.000281
11	+	14	0.054542	0.243777	0.024539
12	-	14	-0.002612	0.400885	-0.001932
13	+	14	0.004079	0.094282	0.000710
14	+	14	0.335139	1.000000	0.618526
15	+	14	0.063681	0.419056	0.049251
16	-	14	-0.005430	0.086928	-0.000871
17	+	14	0.018505	0.091130	0.003112
18	-	14	-0.065938	0.360459	-0.043865
19	+	14	0.086682	0.881451	0.141014
20	+	14	0.000656	0.218819	0.000265
21	-	14	-0.104681	0.926840	-0.179063
22	-	14	-0.173233	1.000000	-0.319715
23	+	14	0.053100	0.498317	0.048835
24	-	14	-0.145753	0.999999	-0.268998
25	-	14	-0.084447	0.801739	-0.124954
26	+	14	0.045413	0.316449	0.026523
27	+	14	0.248083	1.000000	0.457857
28	+	14	0.002586	0.233395	0.001114
29	-	14	-0.002763	0.114233	-0.000583
30	+	14	0.115456	0.998026	0.212663
31	-	14	-0.032829	0.357779	-0.021677
32	+	14	0.003555	0.114039	0.000748
33	+	14	0.240778	1.000000	0.444376
34	+	14	0.147707	1.000000	0.272604
35	-	14	-0.021493	0.125808	-0.004990
36	+	14	0.044239	0.200655	0.016383
37	-	14	-0.176889	0.999596	-0.326331
38	+	14	0.118854	0.999898	0.219333
1	+	15	0.009297	0.207048	0.003553
2	-	15	-0.068927	0.466648	-0.059363
3	+	15	0.012417	0.085521	0.001960
4	+	15	0.047359	0.426113	0.037244
5	-	15	-0.009264	0.113086	-0.001933
6	+	15	0.218503	0.692545	0.279279
7	+	15	0.104431	0.015510	0.002989
8	-	15	-0.010593	0.077849	-0.001522
9	+	15	0.029315	0.238469	0.012902
10	+	15	0.007028	0.085463	0.001108
11	+	15	0.008518	0.080848	0.001271
12	-	15	-0.047735	0.421045	-0.037094
13	+	15	0.013470	0.081679	0.002031
14	+	15	0.071328	0.181361	0.023875
15	+	15	0.380535	1.000000	0.702308
16	-	15	-0.155923	1.000000	-0.287768
17	-	15	-0.017396	0.109164	-0.003505
18	-	15	-0.028480	0.312234	-0.016411
19	+	15	0.017466	0.070359	0.002268
20	+	15	0.025411	0.150790	0.007072
21	-	15	-0.083936	0.952431	-0.147541
22	+	15	0.044320	0.014582	0.001193
23	+	15	0.054330	0.192962	0.019348
24	-	15	-0.016144	0.235305	-0.007011
25	+	15	0.202026	0.995724	0.371261
26	+	15	0.162917	0.000000	0.000000
27	-	15	-0.089517	0.963776	-0.159226
28	+	15	0.070055	0.192868	0.024936
29	+	15	0.025153	0.027032	0.001255
30	+	15	0.083017	0.044386	0.006801
31	-	15	-0.062712	0.844247	-0.097713
32	+	15	0.063105	0.001314	0.000153
33	+	15	0.195552	0.996333	0.359583
34	+	15	0.353216	1.000000	0.651889
35	-	15	-0.243001	1.000000	-0.448478
36	-	15	-0.094274	0.986900	-0.171712
37	-	15	-0.056556	0.766914	-0.080050
38	+	15	0.047784	0.001693	0.000149
1	-	16	-0.023556	0.228460	-0.009932
2	+	16	0.056141	0.466432	0.048328
3	+	16	0.034919	0.234324	0.015101
4	-	16	-0.023181	0.414762	-0.017745
5	+	16	0.028935	0.180889	0.009660
6	-	16	-0.081645	0.500888	-0.075475
7	+	16	0.036463	0.253709	0.017073
8	-	16	-0.003609	0.038176	-0.000254
9	-	16	-0.037401	0.269505	-0.018603
10	+	16	0.002768	0.096009	0.000490
11	+	16	0.018810	0.129461	0.004494
12	-	16	-0.103913	0.527391	-0.101143
13	+	16	0.009746	0.116300	0.002092
14	-	16	-0.000065	0.076487	-0.000009
15	-	16	-0.102359	0.992537	-0.187502
16	+	16	0.386735	1.000000	0.713751
17	-	16	-0.005807	0.061405	-0.000658
18	+	16	0.060997	0.376103	0.042340
19	+	16	0.109438	0.999906	0.201958
20	-	16	-0.074034	0.781990	-0.106848
21	+	16	0.054082	0.623937	0.062276
22	+	16	0.081576	0.993594	0.149591
23	-	16	-0.037024	0.440533	-0.030102
24	+	16	0.064676	0.863378	0.103057
25	-	16	-0.107358	0.983627	-0.194893
26	+	16	0.061476	0.863485	0.097970
27	-	16	-0.020342	0.114417	-0.004296
28	-	16	-0.112754	0.987445	-0.205484
29	+	16	0.005362	0.116929	0.001157
30	+	16	0.086575	0.982320	0.156956
31	-	16	-0.150259	0.999612	-0.277208
32	+	16	0.043914	0.401355	0.032528
33	-	16	-0.002506	0.102052	-0.000472
34	-	16	-0.259339	1.000000	-0.478630
35	+	16	0.255144	1.000000	0.470889
36	-	16	-0.013943	0.109105	-0.002808
37	+	16	0.112369	0.978040	0.202831
38	+	16	0.130807	1.000000	0.241414
1	-	17	-0.000452	0.210485	-0.000176
2	-	17	-0.030146	0.443114	-0.024653
3	+	17	0.005519	0.098828	0.001007
4	-	17	-0.001075	0.407718	-0.000809
5	+	17	0.004081	0.095911	0.000722
6	+	17	0.040113	0.450279	0.033335
7	+	17	0.007398	0.120212	0.001641
8	-	17	-0.016840	0.113624	-0.003531
9	+	17	0.038223	0.276560	0.019510
10	-	17	-0.099772	0.999960	-0.184131
11	+	17	0.020337	0.167999	0.006306
12	+	17	0.028395	0.413721	0.021681
13	-	17	-0.057520	0.791047	-0.083976
14	+	17	0.004574	0.089603	0.000756
15	-	17	-0.003703	0.085827	-0.000587
16	-	17	-0.003099	0.082034	-0.000469
17	+	17	0.192883	1.000000	0.355981
18	+	17	0.013260	0.307154	0.007517
19	+	17	0.005478	0.114840	0.001161
20	-	17	-0.002644	0.226679	-0.001106
21	-	17	-0.037144	0.495114	-0.033941
22	+	17	0.020473	0.151386	0.005720
23	-	17	-0.004750	0.289800	-0.002541
24	+	17	0.014567	0.129656	0.003486
25	+	17	0.041483	0.548745	0.042012
26	+	17	0.031035	0.264227	0.015134
27	-	17	-0.110974	0.999860	-0.204784
28	+	17	0.100283	0.989350	0.183109
29	-	17	-0.135787	1.000000	-0.250605
30	+	17	0.160075	1.000000	0.295431
31	+	17	0.031252	0.418965	0.024165
32	-	17	-0.106919	1.000000	-0.197327
