Parent	Type	Child	Weight	Probability	Score
38	-	5	-0.009380	0.144542	-0.002116
1	-	6	-0.002638	0.104531	-0.000430
2	+	6	0.146852	0.999959	0.229181
3	+	6	0.001161	0.042495	0.000077
4	+	6	0.217009	1.000000	0.338684
5	+	6	0.008673	0.053564	0.000725
6	+	6	0.308135	1.000000	0.480904
7	+	6	0.008585	0.090401	0.001211
8	+	6	0.005281	0.078968	0.000651
9	+	6	0.023256	0.070790	0.002569
10	+	6	0.006786	0.066819	0.000708
11	+	6	0.002722	0.055217	0.000235
12	+	6	0.265996	1.000000	0.415137
13	+	6	0.007058	0.108120	0.001191
14	+	6	0.003665	0.076155	0.000436
15	+	6	0.016639	0.061521	0.001598
16	-	6	-0.042908	0.447525	-0.029969
17	-	6	-0.004120	0.081586	-0.000525
18	+	6	0.070550	0.319394	0.035167
19	+	6	0.038867	0.033340	0.002022
20	-	6	-0.029464	0.751656	-0.034564
21	+	6	0.053981	0.013155	0.001108
22	-	6	-0.002699	0.098733	-0.000416
23	+	6	0.068491	0.018159	0.001941
24	+	6	0.018403	0.091578	0.002630
25	+	6	0.079549	0.033622	0.004174
26	-	6	-0.053490	0.999545	-0.083443
27	-	6	-0.013612	0.304214	-0.006463
28	+	6	0.047115	0.004328	0.000318
29	+	6	0.015006	0.072923	0.001708
30	+	6	0.004619	0.081974	0.000591
31	+	6	0.075299	0.029125	0.003423
32	-	6	-0.062947	0.999750	-0.098216
33	+	6	0.002144	0.091654	0.000307
34	+	6	0.010319	0.044786	0.000721
35	-	6	-0.124859	0.999989	-0.194864
36	-	6	-0.031030	0.527713	-0.025556
37	+	6	0.056916	0.004060	0.000361
38	+	6	0.033979	0.001756	0.000093
1	+	7	0.117743	0.351588	0.064608
2	+	7	0.044238	0.124339	0.008585
3	+	7	0.004306	0.049625	0.000333
4	-	7	-0.006538	0.104812	-0.001069
5	+	7	0.041351	0.098804	0.006376
6	+	7	0.020522	0.099012	0.003171
7	+	7	0.330991	1.000000	0.516574
8	+	7	0.012807	0.079453	0.001588
9	+	7	0.021916	0.085622	0.002929
10	+	7	0.006964	0.060159	0.000654
11	+	7	0.033452	0.097273	0.005079
12	-	7	-0.009906	0.106124	-0.001641
13	+	7	0.052160	0.113859	0.009269
14	+	7	0.117141	0.096453	0.017634
15	+	7	0.151167	0.126103	0.029751
16	+	7	0.044720	0.417636	0.029149
17	+	7	0.024024	0.081685	0.003063
18	-	7	-0.007283	0.098863	-0.001124
19	+	7	0.212926	0.976036	0.324348
20	+	7	0.129705	0.003182	0.000644
21	+	7	0.086609	0.051364	0.006943
22	-	7	-0.007861	0.108858	-0.001336
23	-	7	-0.031743	0.286467	-0.014192
24	+	7	0.094486	0.180260	0.026582
25	+	7	0.031876	0.064790	0.003223
26	+	7	0.159323	0.000014	0.000003
27	+	7	0.011279	0.076232	0.001342
28	+	7	0.021705	0.058243	0.001973
29	+	7	0.010108	0.080601	0.001271
30	+	7	0.051391	0.055612	0.004460
31	-	7	-0.044526	0.410387	-0.028519
32	+	7	0.122528	0.013900	0.002658
33	+	7	0.126458	0.000086	0.000017
34	+	7	0.089421	0.000084	0.000012
35	-	7	-0.086089	0.797392	-0.107136
36	+	7	0.023702	0.079320	0.002934
37	-	7	-0.064794	0.758425	-0.076695
38	+	7	0.113872	0.000015	0.000003
1	+	8	0.243613	0.000001	0.000001
2	+	8	0.006727	0.092022	0.000966
3	-	8	-0.009071	0.059988	-0.000849
4	+	8	0.005130	0.094129	0.000754
5	+	8	0.057036	0.114848	0.010223
6	+	8	0.039712	0.052164	0.003233
7	+	8	0.151496	0.000000	0.000000
8	+	8	0.346840	0.000000	0.000000
9	+	8	0.207190	0.000006	0.000002
10	+	8	0.065464	0.053471	0.005463
11	-	8	-0.024813	0.166974	-0.006466
12	+	8	0.018892	0.072672	0.002143
13	+	8	0.147229	0.001170	0.000269
14	-	8	-0.005258	0.109663	-0.000900
15	+	8	0.058291	0.000278	0.000025
16	-	8	-0.092204	0.450351	-0.064806
17	-	8	-0.112491	0.800796	-0.140591
18	+	8	0.119712	0.002650	0.000495
19	+	8	0.120659	0.000000	0.000000
20	+	8	0.216081	0.000000	0.000000
21	+	8	0.026305	0.011737	0.000482
22	-	8	-0.028878	0.317728	-0.014320
23	+	8	0.023089	0.016513	0.000595
24	+	8	0.200185	0.000550	0.000172
25	+	8	0.079665	0.000004	0.000000
26	+	8	0.151579	0.000000	0.000000
27	+	8	0.254853	0.000000	0.000000
28	+	8	0.196324	0.000000	0.000000
29	+	8	0.168712	0.000000	0.000000
30	-	8	-0.139392	1.000000	-0.217547
31	+	8	0.045817	0.001377	0.000098
32	+	8	0.197158	0.000000	0.000000
33	+	8	0.003352	0.076564	0.000401
34	+	8	0.088648	0.000000	0.000000
35	-	8	-0.104564	0.990249	-0.161601
36	-	8	-0.196645	1.000000	-0.306902
37	+	8	0.176835	0.000000	0.000000
38	+	8	0.130673	0.000000	0.000000
1	+	9	0.323426	1.000000	0.504768
2	-	9	-0.021172	0.140070	-0.004628
3	+	9	0.039900	0.152516	0.009497
4	+	9	0.063783	0.304880	0.030350
5	-	9	-0.023499	0.127991	-0.004694
6	-	9	-0.012618	0.120434	-0.002372
7	+	9	0.052008	0.133608	0.010845
8	+	9	0.046091	0.137389	0.009883
9	+	9	0.299525	1.000000	0.467466
10	-	9	-0.000497	0.130180	-0.000101
11	-	9	-0.010366	0.132035	-0.002136
12	+	9	0.047025	0.181989	0.013356
13	+	9	0.033069	0.133794	0.006905
14	+	9	0.004989	0.126912	0.000988
15	+	9	0.074707	0.272321	0.031751
16	+	9	0.018835	0.409188	0.012028
17	-	9	-0.008924	0.088152	-0.001228
18	+	9	0.047756	0.162862	0.012139
19	+	9	0.028698	0.098337	0.004404
20	+	9	0.153760	0.999881	0.239943
21	-	9	-0.059648	0.689021	-0.064142
22	+	9	0.150025	0.997483	0.233554
23	+	9	0.106339	0.813554	0.135019
24	-	9	-0.198485	1.000000	-0.309774
25	-	9	-0.037058	0.347682	-0.020109
26	+	9	0.059092	0.052180	0.004812
27	+	9	0.076935	0.153987	0.018489
28	+	9	0.145887	0.999407	0.227550
29	-	9	-0.164732	1.000000	-0.257095
30	-	9	-0.130886	1.000000	-0.204273
31	+	9	0.081932	0.373797	0.047798
32	+	9	0.078789	0.353447	0.043462
33	-	9	-0.112442	0.999995	-0.175486
34	+	9	0.082428	0.107767	0.013864
35	-	9	-0.024572	0.330358	-0.012669
36	-	9	-0.045202	0.353015	-0.024904
37	+	9	0.088953	0.429152	0.059578
38	+	9	0.029186	0.061677	0.002809
1	-	10	-0.046853	0.656342	-0.047994
2	+	10	0.012563	0.101026	0.001981
3	+	10	0.123620	0.841643	0.162380
4	+	10	0.002827	0.099785	0.000440
5	-	10	-0.045013	0.187314	-0.013159
6	+	10	0.011290	0.101163	0.001783
7	+	10	0.008351	0.086597	0.001129
8	+	10	0.022844	0.070562	0.002516
9	-	10	-0.062676	0.903275	-0.088356
10	+	10	0.392358	1.000000	0.612349
11	-	10	-0.010966	0.093377	-0.001598
12	-	10	-0.001567	0.099250	-0.000243
13	+	10	0.036118	0.093436	0.005267
14	+	10	0.020354	0.072910	0.002316
15	-	10	-0.000489	0.109162	-0.000083
16	+	10	0.010560	0.406496	0.006700
17	-	10	-0.096812	0.896377	-0.135437
18	-	10	-0.027973	0.216960	-0.009472
19	+	10	0.055898	0.015403	0.001344
20	-	10	-0.121946	1.000000	-0.190320
21	+	10	0.044372	0.034616	0.002397
22	+	10	0.333142	1.000000	0.519931
23	+	10	0.019251	0.065492	0.001968
24	-	10	-0.188653	1.000000	-0.294428
25	+	10	0.040009	0.037713	0.002355
26	+	10	0.035916	0.004498	0.000252
27	+	10	0.069305	0.001128	0.000122
28	-	10	-0.145619	1.000000	-0.227266
29	+	10	0.356709	1.000000	0.556712
30	-	10	-0.045307	0.613583	-0.043387
31	+	10	0.008349	0.089961	0.001172
32	+	10	0.138034	0.004450	0.000959
33	+	10	0.104267	0.000018	0.000003
34	+	10	0.010312	0.055761	0.000897
35	+	10	0.023475	0.166656	0.006106
36	-	10	-0.191035	1.000000	-0.298147
37	-	10	-0.100273	0.999929	-0.156484
38	+	10	0.111749	0.000000	0.000000
1	-	11	-0.022038	0.119757	-0.004119
2	+	11	0.007249	0.102316	0.001157
3	-	11	-0.004185	0.053259	-0.000348
4	+	11	0.001668	0.101364	0.000264
5	-	11	-0.059849	0.180098	-0.016822
6	-	11	-0.003717	0.104587	-0.000607
7	+	11	0.058085	0.272021	0.024659
8	-	11	-0.097975	0.635638	-0.097195
9	-	11	-0.049612	0.194883	-0.015090
10	+	11	0.005626	0.063873	0.000561
11	+	11	0.128676	0.733178	0.147239
12	-	11	-0.023421	0.126118	-0.004610
13	-	11	-0.010627	0.112456	-0.001865
14	+	11	0.036159	0.190522	0.010752
15	+	11	0.034642	0.167192	0.009039
16	+	11	0.174599	0.536609	0.146223
17	+	11	0.067727	0.207450	0.021928
18	-	11	-0.035861	0.147617	-0.008262
19	+	11	0.053440	0.244845	0.020421
20	-	11	-0.068355	0.318468	-0.033974
21	+	11	0.001964	0.121532	0.000373
22	-	11	-0.012055	0.102680	-0.001932
23	-	11	-0.011535	0.124368	-0.002239
24	-	11	-0.275700	1.000000	-0.430282
25	-	11	-0.025397	0.139250	-0.005519
26	+	11	0.158074	0.999675	0.246624
27	-	11	-0.218928	1.000000	-0.341678
28	-	11	-0.140094	0.992770	-0.217062
29	+	11	0.019716	0.103689	0.003191
30	+	11	0.346241	1.000000	0.540374
31	-	11	-0.098878	0.713121	-0.110048
32	-	11	-0.103465	0.783510	-0.126519
33	+	11	0.195378	1.000000	0.304925
34	+	11	0.115554	0.940666	0.169643
35	+	11	0.183948	0.986215	0.283129
36	+	11	0.170727	0.998947	0.266172
37	-	11	-0.162201	0.999081	-0.252914
38	+	11	0.146707	0.998563	0.228635
1	+	12	0.012107	0.085082	0.001608
2	+	12	0.172360	1.000000	0.269001
3	+	12	0.012902	0.077246	0.001555
4	+	12	0.203136	1.000000	0.317033
5	-	12	-0.003429	0.060082	-0.000322
6	+	12	0.261926	1.000000	0.408785
7	+	12	0.043067	0.024454	0.001644
8	+	12	0.016302	0.062567	0.001592
9	+	12	0.012185	0.070813	0.001347
10	+	12	0.003420	0.058460	0.000312
11	-	12	-0.000492	0.065476	-0.000050
12	+	12	0.338662	1.000000	0.528546
13	+	12	0.007485	0.110319	0.001289
14	+	12	0.010673	0.076372	0.001272
15	+	12	0.025105	0.042400	0.001661
16	+	12	0.042395	0.442567	0.029282
17	-	12	-0.002599	0.084573	-0.000343
18	+	12	0.047163	0.081890	0.006028
19	+	12	0.010041	0.072174	0.001131
20	-	12	-0.070659	0.999995	-0.110276
21	+	12	0.051282	0.006691	0.000536
22	+	12	0.039866	0.100853	0.006275
23	+	12	0.057054	0.006133	0.000546
24	-	12	-0.043179	0.621613	-0.041889
25	+	12	0.063211	0.005622	0.000555
26	+	12	0.030163	0.001821	0.000086
27	+	12	0.015540	0.030835	0.000748
28	-	12	-0.005708	0.174957	-0.001559
29	+	12	0.000820	0.089712	0.000115
30	-	12	-0.015314	0.192113	-0.004592
31	+	12	0.070014	0.007929	0.000866
32	-	12	-0.070543	0.999972	-0.110093
33	-	12	-0.037287	0.952126	-0.055407
34	+	12	0.015495	0.020227	0.000489
35	-	12	-0.006279	0.255800	-0.002507
36	-	12	-0.033553	0.623915	-0.032672
37	+	12	0.052237	0.003158	0.000257
38	-	12	-0.010249	0.315330	-0.005044
1	+	13	0.065273	0.010239	0.001043
2	-	13	-0.085981	0.875059	-0.117424
3	-	13	-0.030607	0.148217	-0.007080
4	-	13	-0.099829	0.957760	-0.149221
5	+	13	0.055321	0.163145	0.014086
6	-	13	-0.142589	0.999688	-0.222467
7	+	13	0.110755	0.000004	0.000001
8	+	13	0.018542	0.049621	0.001436
9	+	13	0.064640	0.012319	0.001243
10	+	13	0.096933	0.126290	0.019106
11	-	13	-0.030290	0.181074	-0.008560
12	-	13	-0.151343	0.999891	-0.236174
13	+	13	0.314117	1.000000	0.490240
14	-	13	-0.000766	0.097698	-0.000117
15	+	13	0.175883	0.000000	0.000000
16	-	13	-0.113327	0.498462	-0.088162
17	-	13	-0.197953	0.999997	-0.308943
18	+	13	0.004278	0.080958	0.000540
19	+	13	0.027479	0.016463	0.000706
20	+	13	0.161576	0.000000	0.000000
21	-	13	-0.071654	0.997537	-0.111554
22	-	13	-0.147790	0.999996	-0.230654
23	-	13	-0.087200	0.999798	-0.136064
24	+	13	0.290475	0.999381	0.453060
25	-	13	-0.118058	1.000000	-0.184253
26	+	13	0.172616	0.000000	0.000000
27	+	13	0.085032	0.000000	0.000000
28	+	13	0.158174	0.000000	0.000000
29	+	13	0.279072	0.003250	0.001415
30	-	13	-0.091672	0.999736	-0.143034
31	-	13	-0.131061	1.000000	-0.204546
32	+	13	0.380836	0.957027	0.568826
33	+	13	0.052134	0.000035	0.000003
34	+	13	0.231934	0.000000	0.000000
35	-	13	-0.049942	0.840773	-0.065533
36	-	13	-0.168812	1.000000	-0.263463
37	+	13	0.031543	0.010412	0.000513
38	+	13	0.090610	0.000000	0.000000
1	-	14	-0.052952	0.271409	-0.022430
2	+	14	0.021834	0.112749	0.003842
3	-	14	-0.032055	0.133850	-0.006696
4	-	14	-0.017632	0.108139	-0.002976
5	+	14	0.005286	0.059943	0.000494
6	+	14	0.067667	0.256538	0.027092
7	+	14	0.108021	0.711504	0.119950
8	+	14	0.003226	0.115229	0.000580
9	-	14	-0.001433	0.103327	-0.000231
10	+	14	0.024975	0.101869	0.003971
11	+	14	0.036849	0.123053	0.007077
12	-	14	-0.021128	0.107644	-0.003550
13	+	14	0.006474	0.075955	0.000767
14	+	14	0.406980	1.000000	0.635169
15	+	14	0.057340	0.201253	0.018010
16	+	14	0.172099	0.537143	0.144273
17	-	14	-0.015804	0.092466	-0.002281
18	+	14	0.154585	0.975163	0.235267
19	+	14	0.099944	0.599507	0.093512
20	-	14	-0.247379	1.000000	-0.386082
21	+	14	0.048507	0.172767	0.013079
22	-	14	-0.240103	1.000000	-0.374727
23	-	14	-0.046010	0.192983	-0.013858
24	-	14	-0.014400	0.121129	-0.002722
25	+	14	0.175391	0.999101	0.273485
26	+	14	0.116703	0.950998	0.173213
27	-	14	-0.118822	0.946683	-0.175557
28	-	14	-0.044436	0.199485	-0.013834
29	+	14	0.107164	0.653029	0.109219
30	+	14	0.114852	0.771865	0.138355
31	-	14	-0.061361	0.254275	-0.024351
32	+	14	0.003926	0.100705	0.000617
33	+	14	0.276697	1.000000	0.431838
34	+	14	0.063541	0.290804	0.028838
35	+	14	0.087943	0.506283	0.069488
36	-	14	-0.109982	0.692527	-0.118871
37	+	14	0.249005	1.000000	0.388620
38	+	14	0.106290	0.874493	0.145066
1	+	15	0.063916	0.089247	0.008903
2	-	15	-0.015102	0.121369	-0.002861
3	+	15	0.000101	0.050844	0.000008
4	+	15	0.038836	0.108381	0.006569
5	+	15	0.035556	0.083466	0.004632
6	+	15	0.000280	0.103449	0.000045
7	+	15	0.213067	0.957348	0.318348
8	+	15	0.010924	0.099156	0.001691
9	+	15	0.092895	0.140718	0.020401
10	+	15	0.018895	0.076215	0.002248
11	+	15	0.031325	0.095723	0.004680
12	+	15	0.083888	0.229084	0.029992
13	+	15	0.088456	0.197521	0.027268
14	+	15	0.107506	0.074396	0.012482
15	+	15	0.315237	1.000000	0.491987
16	+	15	0.234248	0.653339	0.238853
17	-	15	-0.006534	0.072125	-0.000735
18	-	15	-0.006927	0.111651	-0.001207
19	+	15	0.200733	0.847189	0.265409
20	+	15	0.086420	0.007832	0.001056
21	-	15	-0.057907	0.584776	-0.052849
22	-	15	-0.021447	0.141169	-0.004725
23	+	15	0.055732	0.050623	0.004403
24	+	15	0.080391	0.132161	0.016582
25	-	15	-0.019902	0.205578	-0.006385
26	+	15	0.125061	0.000022	0.000004
27	-	15	-0.116937	0.999501	-0.182411
28	+	15	0.114411	0.006353	0.001134
29	+	15	0.048671	0.057331	0.004355
30	+	15	0.072846	0.061263	0.006965
31	+	15	0.128030	0.107817	0.021543
32	+	15	0.142480	0.045114	0.010032
33	+	15	0.126347	0.000176	0.000035
34	+	15	0.166061	0.000017	0.000004
35	+	15	0.051477	0.172503	0.013859
36	-	15	-0.060434	0.430046	-0.040561
37	-	15	-0.116087	0.996820	-0.180600
38	+	15	0.114624	0.000023	0.000004
1	-	16	-0.001678	0.100112	-0.000262
2	-	16	-0.000612	0.095120	-0.000091
3	+	16	0.000923	0.052381	0.000075
4	-	16	-0.000270	0.094161	-0.000040
5	+	16	0.002386	0.066841	0.000249
6	-	16	-0.000672	0.095786	-0.000100
7	+	16	0.000409	0.103672	0.000066
8	-	16	-0.000887	0.094498	-0.000131
9	+	16	0.001103	0.105598	0.000182
10	+	16	0.000704	0.070562	0.000078
11	+	16	0.001074	0.071711	0.000120
12	+	16	0.001026	0.107698	0.000172
13	+	16	0.000493	0.076396	0.000059
14	-	16	-0.000471	0.099372	-0.000073
15	+	16	0.000143	0.102637	0.000023
16	+	16	0.008021	0.432946	0.005420
17	+	16	0.000831	0.058643	0.000076
18	-	16	-0.000356	0.078356	-0.000044
19	+	16	0.001460	0.108246	0.000247
20	-	16	-0.005712	0.253652	-0.002261
21	+	16	0.000034	0.116186	0.000006
22	+	16	0.002958	0.113510	0.000524
23	+	16	0.001196	0.114451	0.000214
24	+	16	0.008258	0.280381	0.003614
25	-	16	-0.000177	0.117328	-0.000032
26	+	16	0.000267	0.121298	0.000051
27	-	16	-0.004788	0.222711	-0.001664
28	+	16	0.009811	0.396470	0.006071
29	+	16	0.004097	0.131297	0.000840
30	+	16	0.003912	0.131533	0.000803
31	+	16	0.008454	0.419697	0.005537
32	+	16	0.002861	0.111550	0.000498
33	-	16	-0.005378	0.278039	-0.002333
34	-	16	-0.000176	0.123467	-0.000034
35	+	16	0.004059	0.228344	0.001446
36	+	16	0.001501	0.096564	0.000226
37	+	16	0.000652	0.100066	0.000102
38	+	16	0.002248	0.118964	0.000417
1	-	17	-0.003696	0.099245	-0.000573
2	-	17	-0.024723	0.151556	-0.005848
3	+	17	0.019986	0.151576	0.004728
4	-	17	-0.017813	0.130424	-0.003626
5	-	17	-0.025235	0.102109	-0.004021
6	-	17	-0.043741	0.272084	-0.018574
7	+	17	0.006442	0.141965	0.001427
8	-	17	-0.053958	0.499226	-0.042041
9	-	17	-0.027190	0.165922	-0.007041
10	-	17	-0.098637	0.984541	-0.151562
11	+	17	0.012549	0.140591	0.002753
12	-	17	-0.050954	0.346697	-0.027570
13	-	17	-0.117516	0.999896	-0.183386
14	-	17	-0.005323	0.108997	-0.000905
15	-	17	-0.017925	0.132230	-0.003699
16	+	17	0.111181	0.551916	0.095768
17	+	17	0.121577	0.977026	0.185386
18	-	17	-0.023866	0.133115	-0.004958
19	+	17	0.001774	0.126638	0.000351
20	-	17	-0.002088	0.116382	-0.000379
21	-	17	-0.031165	0.220084	-0.010705
22	+	17	0.182159	1.000000	0.284294
23	-	17	-0.020970	0.162783	-0.005328
24	-	17	-0.086380	0.832060	-0.112172
25	-	17	-0.057996	0.652754	-0.059083
26	+	17	0.082714	0.986190	0.127308
27	-	17	-0.082802	0.996269	-0.128746
28	-	17	-0.052472	0.579436	-0.047451
29	-	17	-0.163771	1.000000	-0.255596
30	+	17	0.155140	1.000000	0.242125
31	-	17	-0.071920	0.895755	-0.100544
32	-	17	-0.137520	1.000000	-0.214626
33	+	17	0.051785	0.481286	0.038898
34	-	17	-0.021723	0.177784	-0.006027
35	+	17	0.211267	1.000000	0.329723
